timestamp,sequence,battery,flags,EEG-ch1,EEG-ch2,EEG-ch3,EEG-ch4,EEG-ch5,EEG-ch6,EEG-ch7,EEG-ch8,EEG-ch9,EEG-ch10,EEG-ch11,EEG-ch12,EEG-ch13,EEG-ch14,EEG-ch15,EEG-ch16
16619146120,0,-2,0,-29729.3823182815,-42737.2586068476,67764.9576988666,-23930.0633293182,-62604.4062900172,-7053.1271403866,85155.0908366994,-73860.2072422607,-43856.6867145583,-11312.2347301082,-36317.8494523935,-67443.5114841981,80605.4551499363,34409.3583734119,-3647.9363460021,66226.0604108818
16619146120,0,-2,0,-62013.4942615079,-64945.0331216656,18488.6449747048,-23924.3688472050,-55846.4674745552,-7037.7228362087,77189.5932854382,-70375.0260089622,-43880.1460340329,-11343.8829095447,-36335.5899543614,-52922.9227912101,75015.3962109339,-28206.9114210077,-3632.6293833989,62278.3606859497
16619146120,0,-2,0,-60756.6806889694,-63258.6146773995,69534.4085062524,-23858.2739180628,-60965.9042358398,-6976.5071534925,84407.4710408073,-72610.5726108477,-43782.3907577574,-11177.5139908846,-36199.2874145508,-55878.2860017472,83114.8114334285,27373.4120209393,-3460.8093365621,90854.9997426193
16619146120,0,-2,0,35921.7544177163,31016.8828222074,83383.4498438854,-23852.2387404386,-63548.6438988712,-6981.9217785787,94214.1601399225,-75061.6942973452,-43745.5226363839,-11124.3776588588,-36161.2390265854,-68083.2038092706,90375.7750032477,78052.2708224879,-3457.2807044834,94364.2730156271
16619146120,0,-2,0,-22012.3491361447,-36377.2156451927,74237.8560485543,-23914.7441990181,-63755.7502664945,-7041.5556607079,87290.0592566464,-74869.6150352983,-43837.0115487956,-11275.7559750331,-36285.3251987858,-69201.9140228687,83426.8641861496,53855.8566097156,-3593.5832442940,82667.1010288283
16619146120,0,-2,0,-56500.6515265439,-61055.6044968186,16239.4827200745,-23944.6767332025,-55716.1636092783,-7062.1312360355,76843.5074847032,-70164.1719907174,-43908.2169106034,-11394.3910190567,-36382.0462208314,-54819.2461733688,73844.6204226305,-31766.6319650435,-3686.9581497133,51553.5093522721
16619146120,0,-2,0,-64637.1295535611,-68368.3781197099,58926.3670620751,-23871.8652354140,-60547.7491668226,-6990.4269986579,82084.7672265791,-73353.3739987978,-43811.2160315310,-11232.3781358593,-36246.6684259793,-60496.3284800489,80057.6776066643,8608.9740300457,-3523.2904597479,85840.6553787944
16619146120,0,-2,0,19803.7539827221,19888.4776557002,83699.7004520105,-23826.6744094136,-62486.4891401061,-6954.5809638176,93895.2204707996,-73620.6982979979,-43717.6586106594,-11085.6235444778,-36125.1253024149,-61557.2056306475,91177.3585345495,77396.8821685138,-3402.1610378755,96413.4591729724
16619164885,1,-2,0,-7659.5773177388,-22466.3867430928,75716.9247712607,-23911.4832562695,-64020.1178153665,-7040.9959466541,88602.9659115387,-75382.3861148107,-43826.3161432882,-11259.4025905030,-36267.1588274292,-70720.0775554672,84729.8906712217,60084.7804704065,-3571.3285268049,88505.1376290822
16619164885,1,-2,0,-47717.2900656318,-55539.3426390474,29723.4201468382,-23949.2761226016,-57579.1475021422,-7070.4539406624,78760.2482621308,-71088.2477259358,-43906.2335760213,-11397.9561542259,-36383.1778166359,-60064.3265720471,74612.4750983390,-18577.0676275172,-3709.7847489531,47309.5992158823
