timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
16636478979,268,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16636490162,269,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16636547741,270,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16636562534,271,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16636582723,272,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16636622739,273,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16636662734,274,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16636685213,275,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16636757854,276,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16636772463,277,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16636786178,278,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16636801239,279,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16636858787,280,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16636914813,281,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16636928524,282,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16636938622,283,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16636962369,284,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16636997567,285,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16637037464,286,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16637057548,287,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16637086151,288,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16637135382,289,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16637143236,290,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16637207853,291,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16637215084,292,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16637279014,293,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16637289804,294,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16637321188,295,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16637361162,296,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16637374911,297,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16637394869,298,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16637457419,299,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16637465198,300,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16637494864,301,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16637522611,302,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16637562738,303,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16637582535,304,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16637659213,305,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16637674050,306,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16637686240,307,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
